Question,Answer 1,Answer 2,Answer 3,Answer 4,Time,Correct
What followed Ghana’s independence renaming in 1957?,Adoption of 'The Church of Pentecost' in 1962,Gold Coast Apostolic Church founded in 1953,Doctrinal split in 1939,Arrival of McKeown in 1937,10,1
Who disposes of Church land/property?,Any local presbytery,Regional Head alone,National Office & Trustees per constitution,Any two elders,10,3
Who prayed over 216th & Bronx Blvd building?,Apostle Ansong,Apostle Amoah,Apostle Opoku Onyinah (then IMD),Apostle Owusu,10,3
Church Projects priority:,Start many projects at once,Complete and acquire certificate of occupancy,No need for permits,Rent forever,10,2
Apostle Elvis Okyere serves in which nation?,Argentina,Italy,Indonesia,Bahamas,10,3
Financial returns include reporting on…,Only tithes,"Missions, internal missions, pensions",Only offerings,Only salaries,10,2
Where was the Pentecost Biblical Seminary relocated to?,"Wayne, New Jersey","Leominster, MA","Bronx, NY","Atlanta, GA",10,1
Who was appointed Missionary to USA/Canada in 1991?,Pastor Alfred K. Awuah,Apostle S.K. Ansong,Apostle Osei-Bonsu,Apostle Albert Amoah,10,1
Funeral services longer than three hours are…,Discouraged,Required,Normal,Banned,10,1
Development funds (LDF/DDF/RDF) are used…,At local discretion only,For salaries only,Per the financial manual for approved projects,For entertainment,10,3
Instruments during prayer are…,Laid down,Played softly,Increased,Forbidden for singing,10,1
Presiding Elder’s role includes…,Counting money only,Leading choir only,Media only,Chairing services & presbytery,10,4
Who was National Head 2003–2009?,Apostle E.A. Owusu,Apostle Albert Amoah,Apostle Osei-Bonsu,Apostle A.K. Awuah,10,2
Aps. Dr. Mike George Portuphy serves in which nation?,Indonesia,Italy,Argentina,Bahamas,10,4
Transport for widows of departed ministers is…,Paid by hosts of programs,Not provided,Self-funded,Only in Ghana,10,1
Who serves in Guam for COP-USA?,Ovr. Stephen Asare,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,2
Vehicle purchases by District Pastors/Overseers require…,National Head only,Local elder consent,Deacon board,Approval of Regional Heads,10,4
Pastor Vestus Jnr Garry serves in which nation?,Chile,Italy,Argentina,Indonesia,10,2
Officers appreciation is generally…,Always public parade,Not permitted,A surprise from members,Organized by officers & done decently,10,4
Every Assembly maintains a register of…,Visitors only,Officers only,All members,Ministers only,10,3
Which venue preceded Third Ave worship?,"Fish Ave, Apt 2A","Corsa Ave, Apt 3B",137th St (Harlem),"Queen Mill Rd, Mableton",10,3
Which is NOT accurate about early COP-USA venues?,Fish Ave apartment,Times Square prayer meetings,Corsa Ave apartment,137th St in Harlem,10,2
Giving thanks at Lord’s Supper is…,Forbidden,Done silently only,Optional; a citation is read and presented,Loudly with dancing,10,3
Sexual ethics taught by COP:,Casual sex allowed,Chastity before; fidelity within marriage,Private matter only,Ignored,10,2
Who serves in Bahamas for COP-USA?,Pastor Isaac Abban,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
Pastor Emmanuel A. Gyan serves in which nation?,Barbados,Italy,Argentina,Indonesia,10,2
Which is NOT a correct marriage practice?,Lavish ceremonies are required,Vows by Bride & Groom,Registration at Law Courts,Two rings exchanged,10,1
Select the correct Region ? first church pair.,Ohio Region — Los Angeles (Long Beach),Ohio Region — Silver Spring Assembly,Ohio Region — Deacon Boamah’s basement,Ohio Region — Atlanta Central Assembly,10,3
Complete: Prayer centers may open only with __.,local elder consent,member petition,district vote,NEC approval,10,4
Who is named as the founder’s wife?,Mrs. Mary McKeown,Mrs. Sophia McKeown,Mrs. Caroline McKeown,Mrs. Theresa McKeown,10,2
Which app aids giving and scheduling?,WhatsApp,MYCOP App,Slack,Zoom,10,2
Who keeps identity cards securely?,Members at home,The church in an official record book,Regional bank,National office only,10,2
"As of Stats, church buildings owned:",59,39,50,15,10,1
Select the correct Region ? first church pair.,New England Region — Silver Spring Assembly,New England Region — Rhode Island (first),New England Region — Los Angeles (Long Beach),New England Region — Atlanta Central Assembly,10,2
"According to Church Practices, what best describes 'The Bible'?",Infallible in authority and sufficient,Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,3
Atlanta Central building dedicated in…,June 1992,May 1996,September 1996,April 1990,10,3
Divorce policy is:,Freely permitted,Not encouraged; only for scriptural reasons,Never mentioned,Encouraged,10,2
Members belong to the body of Christ and therefore…,May ignore others,Report grievances publicly,Keep to themselves,Should keep unity of the Spirit,10,4
"According to Church Practices, what best describes 'One true God'?","Father, Son and Holy Spirit—one in essence",Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,4
Vetting for ministry includes…,No checks,Aptitude only,Home visit only,Medical examination,10,4
Illegitimate children are…,Not christened but dedicated,Refused dedication,Baptized as infants,Ignored in records,10,1
Which is NOT part of COP’s Good Conduct?,Pay tithes faithfully,Study the Bible,Pray before services,Post grievances on social media,10,4
Ovr. Seth Appiah-Agyekum serves in which nation?,Bermuda,Italy,Argentina,Indonesia,10,2
Select the correct Region ? first church pair.,Atlanta Region — Houston Assembly,Atlanta Region — Silver Spring Assembly,Atlanta Region — Los Angeles (Long Beach),Atlanta Region — Atlanta Central Assembly,10,4
Pastor Isaac Abban serves in which nation?,Bahamas,Italy,Argentina,Indonesia,10,1
COP culture emphasizes a(n)…,Dependence on donors only,No offerings,No leadership,Self-supporting attitude,10,4
Pastor David Osei Nimoh serves in which nation?,Guyana,Italy,Argentina,Indonesia,10,4
Pastor Thomas Eduful serves in which nation?,South Korea,Italy,Argentina,Indonesia,10,2
Who serves in Argentina for COP-USA?,Apostle Elvis Okyere,Aps. Sampson Ofori-Yiadom,Aps. Dr. Mike George Portuphy,Pastor Isaac Abban,10,2
Members from other denominations are received after…,"Teaching, interview & acceptance",Immediate hand-raise,Fee payment,No process,10,1
When was Houston Assembly’s first service?,"May 6, 1991","June 16, 1991","April 22, 1990","Jan 6, 1990",10,2
Where was the National Office purchased in 2017?,"Leominster, MA","Bronx, New York","Wayne, New Jersey","Atlanta, GA",10,3
Total membership on Stats page:,"26,029","16,121","32,426","8,783",10,3
Registration of churches occurs at…,National HQ only,Police registry,Respective state and main town,Hospital registry,10,3
Who may perform water baptism?,Any member,Only elders,Only deacons,Ministers or their appointees,10,4
Status of cohabitees in COP seeking marriage:,Excluded until regularized,Allowed immediately,No issue,Fee only required,10,1
Who serves in Bermuda for COP-USA?,Ovr. Seth Appiah-Agyekum,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
Who serves in Italy for COP-USA?,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,Pastor Isaac Abban,10,1
Ohio’s early group met first at…,Clinton Middle School,Comfort Inn Hotel,Ramada Hotel,Deacon Boamah’s basement,10,4
Which event happened first (earliest)?,Gold Coast Apostolic Church founded,Ghana independence; Ghana Apostolic Church,Doctrinal split over healing,'The Church of Pentecost' adopted,10,3
Which address hosted the first prayer group?,"3487 Fish Ave, Apt 2A","3469 Corsa Ave, Apt 3B",137th St (Harlem),216th & Bronx Blvd,10,1
"As of Stats, parsonages owned:",22,37,14,5,10,2
Who serves in South Korea for COP-USA?,Pastor Thomas Eduful,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
"Per Good Conduct, home life should be…",Your best for Christ,Separate from faith,Mainly private,Only church-focused,10,1
Veil removal timing for first marriages:,After reception,Before procession,Anytime,After father gives bride; before vows,10,4
Retirement services usually last…,All day,One hour,Not more than four hours,No limit,10,3
"As of Stats, number of Regions listed:",7,4,3,10,10,4
Who serves in Costa Rica for COP-USA?,Pastor Daniel Out-Jireh,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,3
Songs in church services should be…,Pentecostal rather than secular,Mostly entertainment,Any trending songs,Instrumental only,10,1
Pastor Michael Agydey Tetteh serves in which nation?,Colombia,Italy,Argentina,Indonesia,10,3
Bronx 216th St building was dedicated in…,1993,1996,2003,2006,10,3
Who serves in Israel for COP-USA?,Pastor Samuel Asante,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
When did Atlanta Central Assembly start?,"June 6, 1992","April 22, 1990","Oct 2, 1988","Dec 4, 1991",10,1
"Per Good Conduct, company should be chosen…",By popularity,At random,Carefully; bad company corrupts,By wealth,10,3
Who serves in Panama for COP-USA?,Ps. Frank Ayisi,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,3
Which is NOT a correct administrative level?,Assembly,District,Region,Parish,10,4
Which of the following is NOT encouraged at the Lord’s Supper?,Clapping and dancing,Solemn commemoration,Self-examination,Sharing bread and cup,10,1
"At the end of Apostle Ansong’s tenure, regions created were…","Washington, Texas, Chicago","New York, California, Washington","New Jersey, Atlanta, Ohio","California, Ohio, Maryland",10,2
Which bank received the early group’s account?,Bank of America,Chase Manhattan Bank,Wells Fargo,Citibank,10,2
Complete: Instruments are played during singing and __.,laid down during prayer,kept playing softly,used only after sermon,forbidden entirely,10,1
"At the end of Apostle Osei-Bonsu’s tenure, membership was…","8,783","3,808","16,121","26,029",10,1
Pastor Samuel Asante serves in which nation?,Israel,Italy,Argentina,Indonesia,10,1
Launching musical albums by individuals is…,Freely done,Required annually,For youth only,Discouraged unless approved,10,4
Which statement is TRUE about the Lord’s Supper?,It is commemorative; no clapping or dancing,It requires drumming and dancing,Only visitors may partake,Children under 12 must partake,10,1
Who advised adopting the name 'The Church of Pentecost' in 1962?,Apostle Safo,James McKeown,Opoku Onyinah,Dr. Kwame Nkrumah,10,4
"According to Church Practices, what best describes 'Marriage & family'?",Union of a man and a woman,Outdated and optional,Reserved for leaders only,Mainly cultural tradition,10,1
Who serves in Chile for COP-USA?,Pastor Vestus Jnr Garry,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
Which event happened first (earliest)?,Gold Coast Apostolic Church founded,Ghana independence; Ghana Apostolic Church,'The Church of Pentecost' adopted,McKeown arrives in Gold Coast,10,4
Where did the Bronx prayer group begin?,3469 Corsa Ave,137th St (Harlem),Third Ave & 165th St,"3487 Fish Ave, Apt 2A",10,4
Number of freewill offerings per service should not exceed…,Two,Three,Four,Five,10,1
Who serves in Indonesia for COP-USA?,Aps. Dr. Mike George Portuphy,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Pastor Isaac Abban,10,3
Seating arrangement:,Elders at back rows,Ministers & elders on local platforms,Choir in balcony only,Members on platform,10,2
Which system manages member records under Vision 2021?,Rock RMS,SAP,Salesforce,Concordance,10,1
Who serves in Puerto Rico for COP-USA?,Pastor Lawrence Asante,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,3
Who serves in Colombia for COP-USA?,Pastor Michael Agydey Tetteh,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,2
Which venue hosted the LA group early on?,Staples Center,Civic Auditorium,City Hall,Ebony Showcase theater,10,4
Which is NOT part of COP culture?,Self-supporting attitude,Praying church,Favoritism based on race,Faithfulness & integrity,10,3
Age normally accepted for ministry applicants:,About 42 years max,About 50 years,No limit,About 35 years,10,1
Select the correct Region ? first church pair.,Texas Region — Houston Assembly,Texas Region — Silver Spring Assembly,Texas Region — Los Angeles (Long Beach),Texas Region — Atlanta Central Assembly,10,1
Complete: Weddings in COP should be __.,lavish,on Sunday mornings,as simple as possible,without vows,10,3
Who served as Chairman 1953–1982?,Apostle F.S. Safo,Pastor James McKeown,Prophet M.K. Yeboah,Apostle Opoku Onyinah,10,2
Members are to forgive and settle grievances by…,Public campaigns,Gossip,Boycotts,Appropriate church authority,10,4
"According to Church Practices, what best describes 'Man’s depraved nature'?",All have sinned and need repentance,Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,1
Who serves in British Virgin Island for COP-USA?,Ovr. Seth Appiah-Agyekum,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
Loans from individual members for projects are…,Preferred,Only for pastors,Not allowed,Mandatory,10,3
"Per Good Conduct, enter worship…",Late and loud,Reverently; listen attentively,With chatting,With food & drinks,10,2
"At farewell services, gifts are…",Publicly paraded,Not included in the brochure,Required,Only for pastors,10,2
Who pronounces vows at COP weddings?,Pastor only,Best man,Both Bride and Groom,Parents,10,3
Which is NOT allowed for financing projects?,Donations received voluntarily,Loans from individual members,Freewill offerings,National support,10,2
Pastor Benjamin Dankyi serves in which nation?,Brazil,Italy,Argentina,Indonesia,10,1
Who serves in Guyana for COP-USA?,Pastor David Osei Nimoh,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,3
Third Ave move occurred in…,December 1989,April 1990,June 1992,February 1991,10,1
Where was the church premises before Third Ave?,3469 Corsa Ave,137th St (Harlem),216th & Bronx Blvd,Fordham Rd,10,2
Calling into ministry requires…,Personal desire only,Local vote only,Council recommendation & GC ratification,Family approval,10,3
Who served as Chairman 1982–1987?,Prophet M.K. Yeboah,Apostle Dr. Ntumy,Apostle Fred S. Safo,Apostle Nyamekye,10,3
Complete: Freewill offerings on Sunday may not exceed __.,two,three,one,four,10,1
Leftover bread (emblem) after Lord’s Supper is…,Shared as snacks,Disposed of decently,Stored indefinitely,Sold to members,10,2
Who is Chairman from 2018 to date?,Apostle Onyinah,Prophet Yeboah,Apostle Eric Nyamekye,Apostle Dr. Ntumy,10,3
How many freewill offerings on any Sunday may be taken?,One,Two,Three,No limit,10,2
Where are church marriages registered?,Church HQ only,Police station,Hospital,Law Courts/Metropolitan/City Council,10,4
Pastor Daniel Dompreh serves in which nation?,Cuba,Italy,Argentina,Indonesia,10,1
Which is NOT a place tied to early COP-USA history?,3487 Fish Ave (Bronx),137th St (Harlem),216th & Bronx Blvd,"Times Square, Manhattan",10,4
"During Apostle Amoah’s tenure, church buildings owned totaled…",15,59,39,22,10,3
Who served as Chairman 2008–2018?,Apostle Eric Nyamekye,Apostle Prof. Opoku Onyinah,Apostle Dr. M.K. Ntumy,Apostle F.S. Safo,10,2
Complete: Retirement services should last __.,one hour,not more than four hours,two hours exact,from dawn to dusk,10,2
Misappropriation of funds brings…,Private apology,Silent transfer,No action,Disciplinary measures & legal action,10,4
Who serves in Barbados for COP-USA?,Pastor Emmanuel A. Gyan,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
"Per Good Conduct, members should enter worship…",Late and noisy,Chatting casually,Only at concerts,Reverently with praise and thanksgiving,10,4
Atlanta Central first met at…,A garage in Stone Mountain,A YMCA,A theatre hall,A school room,10,1
How much is Church Planting Support per assembly?,$500,"$10,000","$50,000","$5,000",10,4
Annual leave for ministers is…,Two weeks,45 days,30 calendar days,90 days,10,3
Select the correct Region ? first church pair.,California Region — Atlanta Central Assembly,California Region — Silver Spring Assembly,California Region — Los Angeles (Long Beach),California Region — Houston Assembly,10,3
Which address came after Fish Ave?,137th St (Harlem),"3469 Corsa Ave, Apt 3B",Third Ave & 165th St,216th & Bronx Blvd,10,2
"According to Church Practices, what best describes 'Baptism & Gifts of the Spirit'?",Spirit baptism with evidence; gifts and fruit,Outdated and optional,Reserved for leaders only,Mainly cultural tradition,10,2
Where may viewing be held per COP-USA?,Only church,Home or funeral homes,Only graveside,Only outdoors,10,2
Prayer centers can be opened…,Only with NEC approval,By anyone anytime,By elders alone,By youth alone,10,1
Pastor Francis Nkrumah serves in which nation?,Trinidad and Tobago,Italy,Argentina,Indonesia,10,3
Which corner was near the later Bronx building?,Fordham & Grand Concourse,Times Sq & 7th,King Dr & 55th,216th St & Bronx Blvd,10,4
Ovr. Seth Appiah-Agyekum serves in which nation?,Bermuda,Italy,Argentina,Indonesia,10,1
NY building purchase price at 216th St was…,"$210,000","$350,000","$1,000,000","$710,000",10,4
Down payment for the Bronx building was…,"$210,000","$110,000","$350,000","$80,000",10,1
Who was National Head 1992–1997?,Apostle Dr. Alex Osei-Bonsu,Apostle Albert Amoah,Apostle E.A. Owusu,Apostle Samuel K. Ansong,10,4
Uniforms for singing groups should be…,Mandatory robes,Any flashy attire,Black only,Neat; avoid loud/bright colors,10,4
Ovr. Stephen Asare serves in which nation?,Guam,Italy,Argentina,Indonesia,10,3
When did Pastor A.K. Awuah arrive as Resident Missionary?,December 1989,April 1989,February 1991,June 1992,10,3
Pastor Godwin Ampofo serves in which nation?,US Virgin Island,Italy,Argentina,Indonesia,10,3
Who was National Head 1997–2003?,Apostle Dr. Alex Osei-Bonsu,Apostle S.K. Ansong,Apostle Albert Amoah,Apostle E.A. Owusu,10,1
"Per Good Conduct, carry tracts…","No, not needed",Only on evangelism days,"Yes, for distribution",Leaders only,10,3
Houston church started in a…,Warehouse,Beauty salon,School,Backyard,10,2
Who serves in Brazil for COP-USA?,Pastor Benjamin Dankyi,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
Members are to refrain from…,"Alcohol, tobacco and hard drugs",All medicine,Sports,Any education,10,1
Funds after offerings at services are raised strictly by…,Ticket sales,Freewill offering,Compulsory dues,Loans,10,2
Down payment for 216th St Bronx building:,"$710,000","$110,000","$350,000","$210,000",10,4
Which statement is TRUE about prayer centers?,They can be opened by any member,They require prior NEC approval,Only youth boards may approve them,They are forbidden everywhere,10,2
Which is NOT a core belief listed?,Authority of Scripture,Reincarnation cycle for salvation,One true God in Trinity,Second Coming of Christ,10,2
Who served as Chairman 1998–2008?,Apostle Dr. M.K. Ntumy,Apostle Opoku Onyinah,Prophet M.K. Yeboah,Apostle Eric Nyamekye,10,1
"According to Church Practices, what best describes 'Second Coming & Resurrection'?",Christ will return; resurrection and judgment,Outdated and optional,Reserved for leaders only,Mainly cultural tradition,10,3
When was the NY Assembly registered officially?,"Oct 2, 1988",Dec 1989,"Jan 6, 1990","April 4, 1989",10,4
Elders are to be…,Uninvolved,Only administrators,Approachable but firm and fair,Only preachers,10,3
When was Rhode Island assembly outdoored?,"June 6, 1992","April 22, 1990","May 6, 1991","Oct 2, 1988",10,3
"At worship, members should give praise with…",Chatting & selfies,Shouting at random,Thanksgiving in holiness,Secular songs,10,3
Who serves in Trinidad and Tobago for COP-USA?,Pastor Francis Nkrumah,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,2
Best action for grievances per Church Practices:,Post online,Ignore it,Speak to appropriate church authority,Tell outsiders first,10,3
Who serves in Dominican Republic for COP-USA?,Pastor Carlos Godoy,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
Who served as Chairman 1988–1998?,Apostle Fred S. Safo,Apostle Opoku Onyinah,Apostle Dr. Ntumy,Prophet M.K. Yeboah,10,4
Who pronounces wedding vows in COP?,Pastor only,Bride and Groom,Best man,Parents,10,2
Pastor Daniel Out-Jireh serves in which nation?,Costa Rica,Italy,Argentina,Indonesia,10,4
Who became National Head in 2016?,Apostle John Ofori,Apostle Sampson Yiadom,Apostle Peter Amponsah,Apostle Michael Agyemang-Amoako,10,4
Veil status for widows at marriage:,No veil,Mandatory veil,Optional veil,Only white veil,10,1
Pastor Carlos Godoy serves in which nation?,Dominican Republic,Italy,Argentina,Indonesia,10,2
Pastor Lawrence Asante serves in which nation?,Puerto Rico,Italy,Argentina,Indonesia,10,4
Ministers’ Day of Rest is generally on…,Sunday,Monday,Friday,Saturday,10,2
Who is listed as the Founder of The Church of Pentecost?,Rev. James McKeown,Apostle Fred S. Safo,Apostle Opoku Onyinah,Prophet M.K. Yeboah,10,1
Wedding ceremonies on Sunday mornings are…,Required,Mandatory,Irrelevant,Discouraged,10,4
