Question,Answer 1,Answer 2,Answer 3,Answer 4,Time,Correct
Who became National Head in 2016?,Apostle John Ofori,Apostle Sampson Yiadom,Apostle Peter Amponsah,Apostle Michael Agyemang-Amoako,10,4
Vetting for ministry includes…,No checks,Aptitude only,Home visit only,Medical examination,10,4
Retirement services usually last…,All day,One hour,Not more than four hours,No limit,10,3
Where did worship move in 1989?,Third Ave & 165th St (Bronx),Queens Blvd,Long Island,Yonkers,10,1
"Per Admin Setup, which is the correct order?",Assembly ? District ? Region ? National,District ? National ? Assembly ? Region,Region ? District ? National ? Assembly,National ? Region ? Assembly ? District,10,1
Which is NOT accurate about early COP-USA venues?,Fish Ave apartment,Times Square prayer meetings,Corsa Ave apartment,137th St in Harlem,10,2
Which statement is TRUE about the Lord’s Supper?,It is commemorative; no clapping or dancing,It requires drumming and dancing,Only visitors may partake,Children under 12 must partake,10,1
Divorce policy is:,Freely permitted,Not encouraged; only for scriptural reasons,Never mentioned,Encouraged,10,2
What followed Ghana’s independence renaming in 1957?,Adoption of 'The Church of Pentecost' in 1962,Gold Coast Apostolic Church founded in 1953,Doctrinal split in 1939,Arrival of McKeown in 1937,10,1
Leftover bread (emblem) after Lord’s Supper is…,Shared as snacks,Disposed of decently,Stored indefinitely,Sold to members,10,2
Who is listed as the first Apostle of the COP?,Apostle Fred S. Safo,Apostle Dr. M.K. Ntumy,Apostle S.R. Asomaning,Apostle E.A. Owusu,10,3
Status of cohabitees in COP seeking marriage:,Excluded until regularized,Allowed immediately,No issue,Fee only required,10,1
Pastor Daniel Out-Jireh serves in which nation?,Costa Rica,Italy,Argentina,Indonesia,10,4
Songs in church services should be…,Pentecostal rather than secular,Mostly entertainment,Any trending songs,Instrumental only,10,1
"At the end of Apostle Ansong’s tenure, regions created were…","Washington, Texas, Chicago","New York, California, Washington","New Jersey, Atlanta, Ohio","California, Ohio, Maryland",10,2
"According to Church Practices, what best describes 'Second Coming & Resurrection'?",Christ will return; resurrection and judgment,Outdated and optional,Reserved for leaders only,Mainly cultural tradition,10,3
When did Atlanta Central Assembly start?,"June 6, 1992","April 22, 1990","Oct 2, 1988","Dec 4, 1991",10,1
Pastor Michael Agydey Tetteh serves in which nation?,Colombia,Italy,Argentina,Indonesia,10,3
Development funds (LDF/DDF/RDF) are used…,At local discretion only,For salaries only,Per the financial manual for approved projects,For entertainment,10,3
Who keeps identity cards securely?,Members at home,The church in an official record book,Regional bank,National office only,10,2
Church Projects priority:,Start many projects at once,Complete and acquire certificate of occupancy,No need for permits,Rent forever,10,2
Transport for widows of departed ministers is…,Paid by hosts of programs,Not provided,Self-funded,Only in Ghana,10,1
Who serves in Guyana for COP-USA?,Pastor David Osei Nimoh,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,3
Which venue preceded Third Ave worship?,"Fish Ave, Apt 2A","Corsa Ave, Apt 3B",137th St (Harlem),"Queen Mill Rd, Mableton",10,3
Members from other denominations are received after…,"Teaching, interview & acceptance",Immediate hand-raise,Fee payment,No process,10,1
Funeral services longer than three hours are…,Discouraged,Required,Normal,Banned,10,1
Illegitimate children are…,Not christened but dedicated,Refused dedication,Baptized as infants,Ignored in records,10,1
Where was the Pentecost Biblical Seminary relocated to?,"Wayne, New Jersey","Leominster, MA","Bronx, NY","Atlanta, GA",10,1
Select the correct Region ? first church pair.,Atlanta Region — Houston Assembly,Atlanta Region — Silver Spring Assembly,Atlanta Region — Los Angeles (Long Beach),Atlanta Region — Atlanta Central Assembly,10,4
Who was National Head 2003–2009?,Apostle E.A. Owusu,Apostle Albert Amoah,Apostle Osei-Bonsu,Apostle A.K. Awuah,10,2
Ministers’ Day of Rest is generally on…,Sunday,Monday,Friday,Saturday,10,2
Who disposes of Church land/property?,Any local presbytery,Regional Head alone,National Office & Trustees per constitution,Any two elders,10,3
Who served as Chairman 1998–2008?,Apostle Dr. M.K. Ntumy,Apostle Opoku Onyinah,Prophet M.K. Yeboah,Apostle Eric Nyamekye,10,1
Who prayed over 216th & Bronx Blvd building?,Apostle Ansong,Apostle Amoah,Apostle Opoku Onyinah (then IMD),Apostle Owusu,10,3
Where did the Bronx prayer group begin?,3469 Corsa Ave,137th St (Harlem),Third Ave & 165th St,"3487 Fish Ave, Apt 2A",10,4
Who serves in Costa Rica for COP-USA?,Pastor Daniel Out-Jireh,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,3
"Per Good Conduct, members should enter worship…",Late and noisy,Chatting casually,Only at concerts,Reverently with praise and thanksgiving,10,4
"Per Good Conduct, company should be chosen…",By popularity,At random,Carefully; bad company corrupts,By wealth,10,3
Select the correct Region ? first church pair.,California Region — Atlanta Central Assembly,California Region — Silver Spring Assembly,California Region — Los Angeles (Long Beach),California Region — Houston Assembly,10,3
Who serves in Argentina for COP-USA?,Apostle Elvis Okyere,Aps. Sampson Ofori-Yiadom,Aps. Dr. Mike George Portuphy,Pastor Isaac Abban,10,2
How many regions are listed on Stats at a glance?,7,9,10,13,10,4
Complete: Instruments are played during singing and __.,laid down during prayer,kept playing softly,used only after sermon,forbidden entirely,10,1
"According to Church Practices, what best describes 'One true God'?","Father, Son and Holy Spirit—one in essence",Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,4
"As of Stats, number of Regions listed:",7,4,3,10,10,4
Ovr. Seth Appiah-Agyekum serves in which nation?,Bermuda,Italy,Argentina,Indonesia,10,1
"According to Church Practices, what best describes 'The Savior'?","Jesus Christ, God incarnate",Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,2
Members belong to the body of Christ and therefore…,May ignore others,Report grievances publicly,Keep to themselves,Should keep unity of the Spirit,10,4
Instruments during prayer are…,Laid down,Played softly,Increased,Forbidden for singing,10,1
Complete: Prayer centers may open only with __.,local elder consent,member petition,district vote,NEC approval,10,4
Seating arrangement:,Elders at back rows,Ministers & elders on local platforms,Choir in balcony only,Members on platform,10,2
Age normally accepted for ministry applicants:,About 42 years max,About 50 years,No limit,About 35 years,10,1
Select the correct Region ? first church pair.,Ohio Region — Los Angeles (Long Beach),Ohio Region — Silver Spring Assembly,Ohio Region — Deacon Boamah’s basement,Ohio Region — Atlanta Central Assembly,10,3
Complete: Weddings in COP should be __.,lavish,on Sunday mornings,as simple as possible,without vows,10,3
Which is NOT a place tied to early COP-USA history?,3487 Fish Ave (Bronx),137th St (Harlem),216th & Bronx Blvd,"Times Square, Manhattan",10,4
Complete: Freewill offerings on Sunday may not exceed __.,two,three,one,four,10,1
Down payment for 216th St Bronx building:,"$710,000","$110,000","$350,000","$210,000",10,4
Best action for grievances per Church Practices:,Post online,Ignore it,Speak to appropriate church authority,Tell outsiders first,10,3
Select the correct Region ? first church pair.,Texas Region — Houston Assembly,Texas Region — Silver Spring Assembly,Texas Region — Los Angeles (Long Beach),Texas Region — Atlanta Central Assembly,10,1
Ohio’s early group met first at…,Clinton Middle School,Comfort Inn Hotel,Ramada Hotel,Deacon Boamah’s basement,10,4
Apostle Elvis Okyere serves in which nation?,Argentina,Italy,Indonesia,Bahamas,10,3
Who served as Chairman 1982–1987?,Prophet M.K. Yeboah,Apostle Dr. Ntumy,Apostle Fred S. Safo,Apostle Nyamekye,10,3
Which is NOT a core belief listed?,Authority of Scripture,Reincarnation cycle for salvation,One true God in Trinity,Second Coming of Christ,10,2
Who serves in Chile for COP-USA?,Pastor Vestus Jnr Garry,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
"Per Good Conduct, enter worship…",Late and loud,Reverently; listen attentively,With chatting,With food & drinks,10,2
"According to Church Practices, what best describes 'Man’s depraved nature'?",All have sinned and need repentance,Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,1
Who visited NYC in Dec 1989 from Ghana?,Apostle Ansong & Osei-Bonsu,Prophet M.K. Yeboah & Apostle Ato Addison,Chairman Nyamekye & IMD,Apostle Amoah & Rev. Mantey,10,2
Pastor Lawrence Asante serves in which nation?,Puerto Rico,Italy,Argentina,Indonesia,10,4
Which of the following is NOT encouraged at the Lord’s Supper?,Clapping and dancing,Solemn commemoration,Self-examination,Sharing bread and cup,10,1
Sexual ethics taught by COP:,Casual sex allowed,Chastity before; fidelity within marriage,Private matter only,Ignored,10,2
Where was the National Office purchased in 2017?,"Leominster, MA","Bronx, New York","Wayne, New Jersey","Atlanta, GA",10,3
Calling into ministry requires…,Personal desire only,Local vote only,Council recommendation & GC ratification,Family approval,10,3
Which is NOT part of COP’s Good Conduct?,Pay tithes faithfully,Study the Bible,Pray before services,Post grievances on social media,10,4
Where was the church premises before Third Ave?,3469 Corsa Ave,137th St (Harlem),216th & Bronx Blvd,Fordham Rd,10,2
Veil status for widows at marriage:,No veil,Mandatory veil,Optional veil,Only white veil,10,1
Who was appointed Missionary to USA/Canada in 1991?,Pastor Alfred K. Awuah,Apostle S.K. Ansong,Apostle Osei-Bonsu,Apostle Albert Amoah,10,1
Number of freewill offerings per service should not exceed…,Two,Three,Four,Five,10,1
Select the correct Region ? first church pair.,New England Region — Silver Spring Assembly,New England Region — Rhode Island (first),New England Region — Los Angeles (Long Beach),New England Region — Atlanta Central Assembly,10,2
Which is NOT a duty of an Elder?,Leading in prayer and Word,Shepherding the flock,Counting money only,Teaching sound doctrine,10,3
How much is Church Planting Support per assembly?,$500,"$10,000","$50,000","$5,000",10,4
Who served as Chairman 2008–2018?,Apostle Eric Nyamekye,Apostle Prof. Opoku Onyinah,Apostle Dr. M.K. Ntumy,Apostle F.S. Safo,10,2
Which is NOT a correct marriage practice?,Lavish ceremonies are required,Vows by Bride & Groom,Registration at Law Courts,Two rings exchanged,10,1
"According to Church Practices, what best describes 'The Bible'?",Infallible in authority and sufficient,Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,3
Third Ave move occurred in…,December 1989,April 1990,June 1992,February 1991,10,1
Who serves in Indonesia for COP-USA?,Aps. Dr. Mike George Portuphy,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Pastor Isaac Abban,10,3
"During Apostle Amoah’s tenure, church buildings owned totaled…",15,59,39,22,10,3
Who pronounces wedding vows in COP?,Pastor only,Bride and Groom,Best man,Parents,10,2
Which app aids giving and scheduling?,WhatsApp,MYCOP App,Slack,Zoom,10,2
Who serves in Barbados for COP-USA?,Pastor Emmanuel A. Gyan,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
"According to Church Practices, what best describes 'Divine Healing'?",God heals; respect medical care,Outdated and optional,Reserved for leaders only,Mainly cultural tradition,10,4
"Per Good Conduct, carry tracts…","No, not needed",Only on evangelism days,"Yes, for distribution",Leaders only,10,3
Funds after offerings at services are raised strictly by…,Ticket sales,Freewill offering,Compulsory dues,Loans,10,2
Who advised adopting the name 'The Church of Pentecost' in 1962?,Apostle Safo,James McKeown,Opoku Onyinah,Dr. Kwame Nkrumah,10,4
